date,above_20,below_20,counted_20,above_50,below_50,counted_50
2026-05-27,56.69,43.31,501,56.69,43.31,501
2026-05-28,55.69,44.31,501,57.29,42.71,501
2026-05-29,50.70,49.30,501,55.09,44.91,501
2026-06-01,47.90,52.10,501,53.29,46.71,501
2026-06-02,52.50,47.50,501,53.09,46.91,501
2026-06-03,50.50,49.50,501,50.90,49.10,501
2026-06-04,62.28,37.72,501,56.49,43.51,501
2026-06-05,61.48,38.52,501,55.29,44.71,501
2026-06-08,55.49,44.51,501,53.29,46.71,501
2026-06-09,64.87,35.13,501,58.88,41.12,501
2026-06-10,56.49,43.51,501,51.90,48.10,501
2026-06-11,64.47,35.53,501,57.09,42.91,501
2026-06-12,71.26,28.74,501,61.48,38.52,501
2026-06-15,70.06,29.94,501,64.27,35.73,501
2026-06-16,68.26,31.74,501,66.07,33.93,501
2026-06-17,51.90,48.10,501,55.09,44.91,501
2026-06-18,51.10,48.90,501,56.29,43.71,501
2026-06-22,52.10,47.90,501,55.69,44.31,501
2026-06-23,54.29,45.71,501,60.08,39.92,501
2026-06-24,59.76,40.24,502,64.07,35.93,501
2026-06-25,60.96,39.04,502,63.67,36.33,501
2026-06-26,62.95,37.05,502,64.27,35.73,501
2026-06-29,65.14,34.86,502,64.87,35.13,501
2026-06-30,62.95,37.05,502,62.48,37.52,501
2026-07-01,64.34,35.66,502,63.87,36.13,501
2026-07-02,68.13,31.87,502,67.47,32.53,501
2026-07-06,67.93,32.07,502,68.86,31.14,501
2026-07-07,66.93,33.07,502,67.86,32.14,501
2026-07-08,57.77,42.23,502,64.27,35.73,501
2026-07-09,59.36,40.64,502,65.07,34.93,501
2026-07-10,62.55,37.45,502,68.46,31.54,501
2026-07-13,62.95,37.05,502,66.07,33.93,501
2026-07-14,57.65,42.35,503,63.67,36.33,501
2026-07-15,52.68,47.32,503,62.28,37.72,501
2026-07-16,64.81,35.19,503,67.66,32.34,501
2026-07-17,58.45,41.55,503,64.47,35.53,501
2026-07-20,52.88,47.12,503,62.28,37.72,501
2026-07-21,50.10,49.90,503,60.08,39.92,501
2026-07-22,46.12,53.88,503,63.27,36.73,501
2026-07-23,43.94,56.06,503,59.68,40.32,501
