date,above_20,below_20,counted_20,above_50,below_50,counted_50
2026-01-02,57.88,42.12,501,60.92,39.08,499
2026-01-05,62.08,37.92,501,63.73,36.27,499
2026-01-06,72.06,27.94,501,68.54,31.46,499
2026-01-07,57.29,42.71,501,63.40,36.60,500
2026-01-08,68.86,31.14,501,71.20,28.80,500
2026-01-09,69.46,30.54,501,72.20,27.80,500
2026-01-12,66.87,33.13,501,71.40,28.60,500
2026-01-13,65.47,34.53,501,68.60,31.40,500
2026-01-14,68.06,31.94,501,72.80,27.20,500
2026-01-15,70.06,29.94,501,73.60,26.40,500
2026-01-16,66.67,33.33,501,72.80,27.20,500
2026-01-20,53.69,46.31,501,64.40,35.60,500
2026-01-21,62.08,37.92,501,70.20,29.80,500
2026-01-22,62.28,37.72,501,69.60,30.40,500
2026-01-23,57.68,42.32,501,67.60,32.40,500
2026-01-26,60.28,39.72,501,70.20,29.80,500
2026-01-27,57.88,42.12,501,67.07,32.93,501
2026-01-28,51.90,48.10,501,62.48,37.52,501
2026-01-29,54.69,45.31,501,64.47,35.53,501
2026-01-30,54.09,45.91,501,67.07,32.93,501
2026-02-02,56.29,43.71,501,66.87,33.13,501
2026-02-03,56.29,43.71,501,63.27,36.73,501
2026-02-04,62.08,37.92,501,67.86,32.14,501
2026-02-05,57.88,42.12,501,65.07,34.93,501
2026-02-06,67.07,32.93,501,68.86,31.14,501
2026-02-09,64.87,35.13,501,68.06,31.94,501
2026-02-10,67.27,32.73,501,68.46,31.54,501
2026-02-11,67.27,32.73,501,67.07,32.93,501
2026-02-12,58.08,41.92,501,61.68,38.32,501
2026-02-13,61.48,38.52,501,63.27,36.73,501
2026-02-17,61.48,38.52,501,64.87,35.13,501
2026-02-18,66.67,33.33,501,66.87,33.13,501
2026-02-19,61.68,38.32,501,64.27,35.73,501
2026-02-20,63.27,36.73,501,66.07,33.93,501
2026-02-23,56.69,43.31,501,61.68,38.32,501
2026-02-24,58.48,41.52,501,62.48,37.52,501
2026-02-25,58.48,41.52,501,63.07,36.93,501
2026-02-26,64.67,35.33,501,66.07,33.93,501
2026-02-27,61.48,38.52,501,63.07,36.93,501
2026-03-02,59.08,40.92,501,62.08,37.92,501
2026-03-03,47.50,52.50,501,56.89,43.11,501
2026-03-04,49.50,50.50,501,58.68,41.32,501
2026-03-05,41.52,58.48,501,52.10,47.90,501
2026-03-06,35.33,64.67,501,45.11,54.89,501
2026-03-09,34.53,65.47,501,44.71,55.29,501
2026-03-10,29.34,70.66,501,41.72,58.28,501
2026-03-11,27.54,72.46,501,39.52,60.48,501
2026-03-12,20.96,79.04,501,32.53,67.47,501
2026-03-13,22.55,77.45,501,32.73,67.27,501
2026-03-16,26.35,73.65,501,34.53,65.47,501
2026-03-17,28.54,71.46,501,35.73,64.27,501
2026-03-18,18.96,81.04,501,29.94,70.06,501
2026-03-19,19.96,80.04,501,28.74,71.26,501
2026-03-20,12.77,87.23,501,20.76,79.24,501
2026-03-23,17.17,82.83,501,24.95,75.05,501
2026-03-24,20.36,79.64,501,25.75,74.25,501
2026-03-25,24.55,75.45,501,28.14,71.86,501
2026-03-26,19.56,80.44,501,23.15,76.85,501
2026-03-27,14.17,85.83,501,20.36,79.64,501
2026-03-30,18.16,81.84,501,20.36,79.64,501
2026-03-31,37.13,62.87,501,24.95,75.05,501
2026-04-01,46.31,53.69,501,27.94,72.06,501
2026-04-02,53.49,46.51,501,30.94,69.06,501
2026-04-06,59.48,40.52,501,34.33,65.67,501
2026-04-07,54.69,45.31,501,30.94,69.06,501
2026-04-08,76.05,23.95,501,49.70,50.30,501
2026-04-09,74.45,25.55,501,50.70,49.30,501
2026-04-10,66.87,33.13,501,45.11,54.89,501
2026-04-13,72.46,27.54,501,50.90,49.10,501
2026-04-14,74.05,25.95,501,54.49,45.51,501
2026-04-15,73.25,26.75,501,52.69,47.31,501
2026-04-16,75.65,24.35,501,53.49,46.51,501
2026-04-17,80.44,19.56,501,61.48,38.52,501
2026-04-20,78.24,21.76,501,62.67,37.33,501
2026-04-21,69.86,30.14,501,58.28,41.72,501
2026-04-22,65.87,34.13,501,55.49,44.51,501
2026-04-23,66.27,33.73,501,55.89,44.11,501
2026-04-24,60.08,39.92,501,53.29,46.71,501
2026-04-27,56.69,43.31,501,52.10,47.90,501
2026-04-28,56.69,43.31,501,52.89,47.11,501
2026-04-29,49.10,50.90,501,50.30,49.70,501
2026-04-30,59.48,40.52,501,56.49,43.51,501
2026-05-01,56.69,43.31,501,55.49,44.51,501
2026-05-04,46.11,53.89,501,52.30,47.70,501
2026-05-05,48.70,51.30,501,53.89,46.11,501
2026-05-06,52.69,47.31,501,56.49,43.51,501
2026-05-07,45.11,54.89,501,54.09,45.91,501
2026-05-08,42.91,57.09,501,52.69,47.31,501
2026-05-11,42.91,57.09,501,50.70,49.30,501
2026-05-12,44.91,55.09,501,51.90,48.10,501
2026-05-13,42.32,57.68,501,46.71,53.29,501
2026-05-14,41.92,58.08,501,47.70,52.30,501
2026-05-15,36.13,63.87,501,45.51,54.49,501
2026-05-18,45.11,54.89,501,52.10,47.90,501
2026-05-19,40.52,59.48,501,48.10,51.90,501
2026-05-20,48.70,51.30,501,54.09,45.91,501
2026-05-21,52.89,47.11,501,55.69,44.31,501
2026-05-22,60.08,39.92,501,58.68,41.32,501
2026-05-26,61.68,38.32,501,57.09,42.91,501
